text,label
I had a wonderful day at the park with my family,0
The weather was beautiful and sunny today,0
I love reading books about history,0
This is a normal peaceful message,0
I enjoyed my coffee this morning,0
The meeting went well and we reached an agreement,0
We must fight for our freedom and resist oppression,1
The government is corrupt and needs to be removed,1
They are brainwashing the people with lies,1
Our people must unite against the enemy,1
We will resist until we achieve victory,1
The enemy must be destroyed by any means necessary,2
Join us in the holy war for our cause,2
The infidels will pay for what they have done,2
We must rise up and take up arms against them,2
This is a betrayal of our people,2
Kill all who oppose us and show no mercy,3
The attack will happen soon prepare for violence,3
We are ready to sacrifice ourselves for the cause,3
They deserve to be eliminated completely,3
The massacre will begin at dawn,3
